Order;clade;family;SPECIES (Smyth);SPECIES (Pegas);SPECIES (Andres);Image_files_names;Specimen number;Ontogenetic stages;DSV ;measured hind limbs (cm);mass estimate (kg3);Wing length  (cm);Wingspan  (cm);Humerus ;Ulna;Pteroid;Mc IV;Wg ph 1;Wg ph 2;Wg ph 3;Wg ph 4;Femur ;Tibia;Mt III;Propatagium     (EWM)       (one wing section);Brachiopatagium (EWM)                           (one wing section);Cruropatagium (EWM)                           (one wing section);Propatagium  % (EWM);Brachiopatagium % (EWM);Cruropatagium % (EWM);W.B A.R 1 (EWM)                              (one wing section);W.B A.R 2 (EWM)                              (one wing section);A.R 1 (EWM)                              (one wing section);A.R 2 (EWM)                              (one wing section);Inner wing area (EWM)             (one wing section) (cm2);Outer wing area(EWM)             (one wing section) (cm2);Inner wing % (EWM)             (one wing section);Outer wing %(EWM)             (one wing section);Total wing area (EWM)             (one wing section);Wing area  (cm2 (EWM));WAR (wingspan(EWM));AR_2/AR_1;Wing loading (EWM);Last Appearance;First Appearance;Midpoint;Stage name;Period Name;Flight category;Environment;Depositional settings/paleoenvironment;Diet 1;Diet 2
Pterodactyloidea;Ornithocheiromorpha;Ornithocheiridae;Nicorhynchus capito;Nicorhynchus capito;Nicorhynchus capito;Out_Nicorhynchus_capito.jpg;CAMSM B 54625;Mature;31.2;50.400;15.880;225.50;451.0;24.3;35.0;14.0;24.9;52.8;45.5;35.0;24.0;21.8;28.6;14.1;465.7;7898.7;281.3;5.4;91.4;3.3;72.7;63.6;3.1;3.5;2800.2;5845.5;32.4;67.6;8645.7;17291.400;11.8;0.87;91.84;92.500000;105.000000;98.75;Cenomanian;Late Cretaceous;High Soaring;Floodplain;Fluviodeltaic;Piscivore;Carnivore
Pterodactyloidea;Ornithocheiromorpha;Ornithocheiridae;Boreopterus giganticus;Boreopterus giganticus;Boreopterus giganticus;Out_Boreopterus_giganticus.jpg;IVPP V14585;Mature;28.0;36;4.781;143.6;287.2;19.3;23.5;8.7;19.8;31.1;24.6;18.8;16.6;18.2;17.8;3.6;254.9;3913.4;145.6;5.9;90.7;3.4;55.6;48.2;2.6;3.0;1613.9;2700;37.4;62.6;4313.9;8627.800;9.6;0.87;55.41;124.122000;125.755000;124.9385;early Barremian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Ornithocheiridae;Coloborhynchus clavirostris;Coloborhynchus clavirostris;Coloborhynchus clavirostris;Out_Coloborhynchus_clavirostris.jpg;IWCMS 2014.82;Mature;17.8;25.5;2.798;117.4;234.8;12.1;18.3;7.9;13.5;26.3;24.3;18.4;12.3;10.7;14.8;6.8;121.2;2217.9;76;5.0;91.8;3.1;38.6;33.6;3.0;3.5;787.0;1628.1;32.6;67.4;2415.1;4830.200;11.4;0.87;57.92;121.400000;125.770000;123.585;Barremian;Early Cretaceous;Flap-soaring ;Fluvial environment;Alluvial plain ;Piscivore;Carnivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Istiodactylus latidens;Istiodactylus latidens;Istiodactylus latidens;Out_Istiodactylus_latidens.jpg;BMNH R 0176;Mature;21.3;45.200;5.626;152.66;305.3;19.4;36.9;8.7;21.7;46.1;33.9;27.9;21.4;19.5;25.7;5.8;216.6;4212.1;212.5;4.7;90.8;4.6;58.0;51.0;2.6;3.0;1565.6;3075.6;33.7;66.3;4641.2;9282.465;10.0;0.88;60.61;121.400000;125.770000;123.585;Barremian;Early Cretaceous;Medium soaring;Fluvial environment;Alluvial plain ;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Istiodactylus sinensis;Istiodactylus sinensis;Istiodactylus sinensis;Out_Istiodactylus_sinensis.jpg;NGMC 99-07-011;Mature;19.2;33.800;3.912;133.17;266.3;12.9;24.5;7.5;17.7;27.5;24;19.7;14.2;15.8;18;6.7;175.5;3054.3;121.0;5.2;91.2;3.6;48.1;41.0;2.8;3.2;1199.9;2150.9;35.8;64.2;3350.8;6701.602;10.6;0.85;58.37;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Medium soaring;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Nurhachius ignaciobritoi;Nurhachius ignaciobritoi;Nurhachius ignaciobritoi;Out_Nurhachius_ignaciobritoi.jpg;BPMC-0204;Mature;24;34.300;3.009;120.65;241.3;14.2;24.9;8.5;15.4;26.1;22.7;15.4;9.1;15.5;18.8;6.4;200.2;3006.8;124.6;6.0;90.3;3.7;53.0;42.9;2.3;2.8;1400.6;1931.0;42.0;58.0;3331.6;6663.245;8.7;0.81;45.16;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Nurhachius luei;Nurhachius luei;Nurhachius luei;Out_Nurhachius_luei.jpg;IVPP V-13288;Mature;16.7;24.000;1.186;85.04;170.1;10.1;17.6;6.0;10.8;18.4;16.0;10.8;6.3;10.8;13.2;4.7;97.9;1507.2;63.9;5.9;90.3;3.8;37.1;30.5;2.3;2.8;708.9;960.1;42.5;57.5;1669.0;3338.029;8.7;0.82;35.54;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Haopterus gracilis;Haopterus gracilis;Haopterus gracilis;Out_Haopterus_gracilis.jpg;IVPP V11726;Mature;9.1;14.400;0.557;64.00;128.0;6.8;10.3;3;7.3;14.3;11.3;9.3;8.3;5.4;9;3.6;37.8;659.5;22.7;5.2;91.6;3.2;21.2;18.6;3.0;3.4;244.7;475.3;34.0;66.0;720.0;1439.931;11.4;0.87;38.68;124.122000;125.755000;124.9385;early Barremian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Yixianopterus jingangshanensis;Yixianopterus jingangshanensis;Yixianopterus jingangshanensis;Out_Yixianopterus_jingangshanensis.jpg;JZMP-V-12;Mature;25;27.500;2.359;110.10;220.2;10.4;17.6;5.4;13.3;23.2;20.6;16.7;12.1;11.3;16.2;13;107.4;2613.3;85.1;3.8;93.1;3.0;48.3;41.8;2.3;2.6;988.1;1817.7;35.2;64.8;2805.8;5611.540;8.6;0.86;42.03;124.122000;125.755000;124.9385;early Barremian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Longchengopterus zhaoi;Longchengopterus zhaoi;Longchengopterus zhaoi;Out_Longchengopterus_zhaoi.jpg;LPM 00023;Mature;14.4;24.600;1.855;100.60;201.2;8.9;17.3;5.9;17.8;15.8;18.8;15.2;11.1;11.1;13.5;4.9;83.8;1703.3;67.2;4.5;91.9;3.6;35.2;30.4;2.9;3.3;644.8;1209.6;34.8;65.2;1854.4;3708.743;10.9;0.86;50.02;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Mimodactylus libanensis;Mimodactylus libanensis;Mimodactylus libanensis;Out_Mimodactylus_libanensis.jpg;MIM F1;Mature;8.9;9.460;0.429;58.01;116.0;4.9;7.8;5.02;5.8;11.4;11.2;10.2;9.04;3.96;5.5;2.9;21.4;477.2;11.1;4.2;93.6;2.2;16.9;14.8;3.4;3.9;184.3;325.4;36.2;63.8;509.7;1019.403;13.2;0.88;42.07;93.500000;97.200000;95.35;Cenomanian;Late Cretaceous;Flap-soaring ;Coastal environment;Coastal/Shallow marine;Piscivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Hongshanopterus lacustris;Hongshanopterus lacustris;Hongshanopterus lacustris;Out_Hongshanopterus_lacustris.jpg;IVPP V14582;Mature;15.2;23.5;1.331;88.8;177.6;9.6;17.3;5.5;12.1;20.1;17.4;13.8;10.1;10.3;13.2;5.3;88.8;1581.9;71.3;5.1;90.8;4.1;34.9;30.5;2.5;2.9;610.3;1131.7;35.0;65.0;1742.0;3484.000;9.1;0.87;38.21;118.900000;122.000000;120.45;Aptian;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Liaoxipterus brachyognathus;Liaoxipterus brachyognathus;Liaoxipterus brachyognathus;Out_Liaoxipterus_brachyognathus.jpg;CAR-0018;Mature;10.3;15.8;0.530;62.8;125.6;6.5;11.6;3.7;8.1;13.5;11.7;9.3;6.8;6.9;8.9;3.6;41.2;719.9;38.3;5.2;90.1;4.8;23.9;20.7;2.6;3.0;274.6;524.8;34.4;65.6;799.4;1598.800;9.9;0.87;33.13;118.900000;122.000000;120.45;latest Barremian–early Aptian ;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Luchibang xingzhe;Luchibang xingzhe;Luchibang xingzhe;Out_Luchibang_xingzhe.jpg;ELDM 1000;Mature;16.7;25.8;1.986;103.2;206.4;10.6;18.9;6.0;13.3;22.1;19.1;15.1;11.1;11.3;14.5;5.8;108.9;1909.9;83.3;5.2;90.9;4.0;38.9;33.5;2.7;3.1;739.6;1362.5;35.2;64.8;2102.1;4204.200;10.1;0.86;47.23;121.400000;125.770000;123.585;Barremian;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Ornithocheiromorpha;Istiodactyloidae;Lingyuanopterus camposi;Lingyuanopterus camposi;Lingyuanopterus camposi;Out_Lingyuanopterus_camposi.jpg;IVPP V 17940;Mature;19.7;30.4;3.038;121.1;242.2;12.5;22.3;7.1;15.6;26.0;22.6;17.8;13.0;13.3;17.1;6.8;152.3;2628.3;108.6;5.3;91.0;3.8;45.6;38.8;2.7;3.1;1011.2;1878;35.0;65.0;2889.2;5778.400;10.2;0.85;52.58;118.900000;122.000000;120.45;Aptian;Early Cretaceous;Flap-soaring ;Forested wetland environment;Lacustrine: large lake;Carnivore;Piscivore
Pterodactyloidea;Pteranodontia;Pteranodontidae;Pteranodon sternbergi;Pteranodon sternbergi;Pteranodon sternbergi;Out_Pteranodon_sternbergi.jpg;FHSM VP339;Mature;41.7;58.600;22.418;256.71;513.4;23.7;37;16.3;48.8;55.9;51.2;34.8;16;22.6;36;17.7;487.1;11495.4;357.8;3.9;93.2;2.9;91.7;80.5;2.8;3.2;3953.9;8386.3;32.0;68.0;12340.2;24680.480;10.7;0.88;90.83;77.850000;84.950000;81.4;upper Santonian-lower Campanian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Generalist
Pterodactyloidea;Pteranodontia;Pteranodontidae;Tethysdraco regalis;Tethysdraco regalis;Tethysdraco regalis;Out_Tethysdraco_regalis.jpg;FSAC-OB 1;Mature;42.4;57.800;22.532;257.20;514.4;20.5;27.3;13.0;39.5;44.4;42.5;30.5;18.0;18;27;8.2;461.7;10416.3;375.6;4.1;92.6;3.3;90.4;80.1;2.8;3.2;3389.6;7864.0;30.1;69.9;11253.6;22507.200;11.8;0.89;100.11;66.000000;67.000000;66.5;upper Maastrichtian;Late Cretaceous;High Soaring;Coastal environment;Coastal/Shallow marine;Piscivore;Generalist
Pterodactyloidea;Pteranodontia;Pteranodontidae;Dawndraco kanzai;Dawndraco kanzai;Dawndraco kanzai;Out_Dawndraco_kanzai.jpg;UALVP 24238;Mature;34;45.000;13.223;210.50;421.0;23.1;35.1;15.9;50.9;57.7;51.0;35.3;18.7;28.1;29.7;14.3;315.3;7374.1;230.5;4.0;93.1;2.9;70.8;63.9;3.0;3.3;2283.6;5636.3;28.8;71.2;7919.9;15839.800;11.2;0.90;83.48;77.850000;84.950000;81.4;upper Santonian-lower Campanian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Generalist
Pterodactyloidea;Pteranodontia;Pteranodontidae;Pteranodon longiceps;Pteranodon longiceps;Pteranodon longiceps;Out_Pteranodon_longiceps.jpg;FMNH PR464;Mature;58.4;78.100;52.822;354.30;708.6;34.5;46.6;20.9;72.4;82.0;67.4;46.0;24.9;33.2;44.9;19.3;914.9;21266.9;663.0;4.0;93.1;2.9;122.6;110.3;2.9;3.2;6699.1;16145.7;29.3;70.7;22844.8;45689.600;11.0;0.90;115.61;77.850000;84.950000;81.4;upper Santonian-lower Campanian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Generalist
Pterodactyloidea;Pteranodontia;Nyctosauridae;Alamodactylus byrdi;Alamodactylus byrdi;Alamodactylus byrdi;Out_Alamodactylus_byrdi.jpg;SMU 76476;Mature;27.8;40.600;11.695;201.00;402.0;15;18.0;5.5;13.6;23.8;21.1;17.1;12.4;11.6;16.6;13.3;220.8;6123.9;172.4;3.4;94.0;2.6;62.5;56.2;3.2;3.6;1690.0;4827.1;25.9;74.1;6517.1;13034.200;12.4;0.90;89.72;88.050000;89.800000;88.925;Santonian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Muzquizopteryx coahuilensis;Muzquizopteryx coahuilensis;Muzquizopteryx coahuilensis;Out_Muzquizopteryx_coahuilensis.jpg;UNAM IGM 8621;Mature;18.5;23.200;1.398;90.46;180.9;8.7;14.2;7.3;19.5;21.3;20.2;10.3;0.0;9.2;14.0;3.5;69.5;1674.6;58.3;3.9;92.9;3.2;38.1;33.0;2.4;2.7;612.2;1190.2;34.0;66.0;1802.4;3604.799;9.1;0.87;38.79;89.800000;91.850000;90.825;Turonian;Late Cretaceous;Flap-soaring ;Coastal environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Nyctosaurus gracilis;Nyctosaurus gracilis;Nyctosaurus gracilis;Out_Nyctosaurus_gracilis.jpg;Unumbered;Mature;15.3;26.400;4.766;143.44;286.9;11.2;18.8;10.6;32.0;38.8;28.5;20.7;0.0;11.1;15.3;9.5;111.4;2610.5;76.3;4.0;93.3;2.7;37.8;33.5;3.8;4.3;751.9;2046.3;26.9;73.1;2798.2;5596.427;14.7;0.89;85.17;77.850000;84.950000;81.4;upper Santonian-lower Campanian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Nyctosaurus nanus;Nyctosaurus nanus;Nyctosaurus nanus;Out_Nyctosaurus_nanus.jpg;YPM 1182;Mature;14;17.000;1.638;96.00;192.0;7.4;14.7;8.7;23.5;21.4;19.7;13.9;0.0;6.9;10.1;5.6;63.2;1339.4;36.5;4.4;93.1;2.5;28.0;24.4;3.4;3.9;437.0;1002.1;30.4;69.6;1439.1;2878.200;12.8;0.87;56.91;77.850000;84.950000;81.4;upper Santonian-lower Campanian;Late Cretaceous;Medium soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Alcione elainus;Alcione elainus;Alcione elainus;Out_Alcione_elainus.jpg;FSAC-OB 2;Mature;17.3;25.900;2.364;110.20;220.4;10.4;12.5;10.2;15.6;29.5;24.9;23.3;0.0;11.5;14.4;8.9;75.7;2117.7;81.9;3.3;93.1;3.6;38.7;35.7;2.8;3.1;581.1;1694.2;25.5;74.5;2275.3;4550.600;10.7;0.92;51.95;66.000000;67.000000;66.5;upper Maastrichtian;Late Cretaceous;Medium soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Barbarydactylus grandis;Barbarydactylus grandis;Barbarydactylus grandis;Out_Barbarydactylus_grandis.jpg; FSAC-OB 232;Mature;31.1;44.700;16.710;229.86;459.7;22.5;28.7;19.8;54.9;57.4;48.4;31.3;0.0;19.2;25.5;14.7;359.0;7676.1;232.9;4.3;92.8;2.8;67.1;60.7;3.4;3.8;2327.4;5940.6;28.1;71.9;8268.0;16536.000;12.8;0.90;101.05;66.000000;67.000000;66.5;upper Maastrichtian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Simurghia robusta;Simurghia robusta;Simurghia robusta;Out_Simurghia_robusta.jpg;FSAC-OB 6;Mature;45.9;72.300;22.277;256.10;512.2;16.5;33.7;21.0;58.2;60.9;51.3;46.0;0.0;32.4;39.9;28.5;347.3;13459.3;552.2;2.4;93.7;3.8;99.1;87.9;2.6;2.9;3566.6;10792.2;24.8;75.2;14358.8;28717.600;9.1;0.89;77.57;66.000000;67.000000;66.5;upper Maastrichtian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Epapatelo otyikokolo;Epapatelo otyikokolo;Epapatelo otyikokolo;Out_Epapatelo_otyikokolo.jpg;MGUAN-PA650;Mature;22.2;39.6;15.416;223;446.0;21.3;29.0;15.9;46.0;51.8;42.2;30.7;15.4;16.7;23.0;14.3;327.2;5967.8;169.9;5.1;92.3;2.6;55.1;49.6;4.047186933;4.495967742;1813.0;4651.9;28.0;72.0;6464.9;12929.800;15.4;0.90;119.23;68.000000;70.000000;69;Maastrichtian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Simurghia lamegoi;Simurghia lamegoi;Nyctosaurus lamegoi;Out_Simurghia_lamegoi.jpg;;Mature;39.1;41.8;15.233;222;444.0;18.5;31.1;19.6;51.5;55.9;45.3;32.0;0.0;17.1;24.7;13.4;319;7268;190.5;4.101575056;93.44905175;2.449373192;67.2;59.6;3.303571429;3.724832215;2236.1;5541.4;28.8;71.2;7777.5;15555.000;12.7;0.89;97.93;68.000000;72.000000;70;Campanian-Maastrichtian;Late Cretaceous;High Soaring;Marine environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;Pteranodontia;Nyctosauridae;Cretornis hlavaci;Cretornis hlavaci;Cretornis hlavaci;Out_Cretornis_hlavaci.jpg;NMP Ob;Mature;11.7;15.2;0.936;77.8;155.6;7.6;10.7;5.5;15.9;19.1;14.8;10.4;4.5;6.2;9.0;4.9;43.8;943.1;34;4.29033206;92.37927319;3.33039475;24.4;22.2;3.18852459;3.504504505;288.9;732;28.3;71.7;1020.9;2041.800;11.9;0.91;45.86;89.800000;91.850000;90.825;Turonian;Late Cretaceous;Flap-soaring ;Coastal environment;Coastal/Shallow marine;Piscivore;Carnivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Propterodactylus frankerlae;Propterodactylus frankerlae;Propterodactylus frankerlae;Out_Propterodactylus_frankerlae.jpg;DMA-JP-2011/006;Mature;5.9;7.120;0.041;23.94;47.9;3.4;4.7;1.9;2.2;3.9;4.3;3.7;3.38;3.3;3.9;1.21;9;143;5;5.8;91.3;2.9;11.7;10.1;2.0;2.4;65.8;91;42.1;57.9;156.3;312.612;7.3;0.86;13.02;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Burst-flapping;Archipelago;Lagoonal deposit;Carnivore;Piscivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Changchengopterus pani;Changchengopterus pani;Changchengopterus pani;Out_Changchengopterus_pani.jpg;CYGB-0036;Mature;10.0;9.900;0.156;39.65;79.3;5.0;7.6;3.1;2.8;5.9;6.3;6.2;5.9;4.2;5.7;3.7;22.0;348.6;14.5;5.7;90.5;3.8;17.4;14.5;2.3;2.7;177.0;208.2;45.9;54.1;385.2;770.382;8.2;0.84;20.23;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Flap-glidding;Forested wetland environment;Lacustrine: small lake;Carnivore;Insectivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Douzhanopterus zhengi;Douzhanopterus zhengi;Douzhanopterus zhengi;Out_Douzhanopterus_zhengi.jpg;STM 19–35;Mature;9.6;10.950;0.087;31.86;63.7;4.7;5.9;2.4;3.2;4.9;5.6;5.3;4.55;3.9;7.1;2.2;16;299;9;4.9;92.2;2.9;18.4;15.7;1.7;2.0;132.7;192;40.9;59.1;324.6;649.126;6.3;0.85;13.42;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Burst-flapping;Forested wetland environment;Lacustrine: small lake;Carnivore;Insectivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Kryptodrakon progenitor;Kryptodrakon progenitor;Kryptodrakon progenitor;Out_Kryptodrakon_progenitor.jpg;IVPP V18184;Mature;18;20.2;0.862;75.4;150.8;7.5;13;5;8.6;11;11;11;9;9;12;5;66.9;1446.2;70.8;4.2;91.3;4.5;38.9;33.9;1.9;2.2;598.4;985.5;37.8;62.2;1583.9;3167.800;7.2;0.87;27.20;154.800000;161.500000;158.15;Oxfordian ;Late Jurassic;Flap-glidding;Forested wetland environment;Lacustrine: small lake;Carnivore;Insectivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Skiphosoura barvarica;Skiphosoura barvarica;Skiphosoura barvarica;Out_Skiphosoura_barvarica.jpg;LF 4157;Mature;21;25.700;1.259;86.95;173.9;10.7;17;7;11.2;13.3;14.3;14;10.8;11.5;14.2;6.3;104.9;1772.4;77.2;4.2;91.3;4.5;42.4;34.9;2.0;2.5;824.4;1130.0;42.2;57.8;1954.5;3908.907;7.7;0.82;32.20;147.100000;149.200000;148.15;lower Tithonian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Carnivore;Piscivore
Pterodactyloidea;basal pterodactyloidea;basal pterodactyloidea;Diopecephalus kochi;Diopecephalus kochi;Pterodactylus kochi;Out_Diopecephalus_kochi.jpg;MHNLR 2011.0.1;Mature;6.9;8.300;0.018;17.68;35.4;3.5;4.6;1.1;3.9;4.7;4.3;3.5;3;3.6;4.7;2.25;4.7;79.0;2.9;5.4;91.3;3.3;8.8;7.4;2.0;2.4;37.0;49.5;42.7;57.3;86.5;173.042;7.2;0.85;10.50;152.100000;155.700000;153.9;upper Oxfordian-lower Kimmeridgian;Late Jurassic;Burst-flapping;Archipelago;Lagoonal deposit;Carnivore;Piscivore
Pterodactyloidea;Ctenochasmatoidea;basal ctenochasmatoidae;Pterodactylus antiquus;Pterodactylus antiquus;Pterodactylus antiquus;Out_Pterodactylus_antiquus.jpg;MBH 250624-10 ;Mature;15.5;15.5;0.627;66.90;133.8;9.3;10.8;3.6;8.4;12.7;11.8;9.8;7.0;6.5;8.9;3.6;57.6;907.9;24.1;5.8;91.7;2.4;27.3;23.8;2.4;2.8;410.6;579.0;41.5;58.5;989.6;1979.200;9.0;0.87;31.67;147.100000;149.200000;148.15;lower Tithonian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Piscivore;Generalist
Pterodactyloidea;Ctenochasmatoidea;basal ctenochasmatoidae;Petrodactyle wellnhoferi;Petrodactyle wellnhoferi;Petrodactyle wellnhoferi;Out_Petrodactyle_wellnhoferi.jpg;LF 2809;Mature;18.8;35.900;2.002;103.52;207.0;8.9;15.2;9.6;18.9;24.9;17.3;11.6;10.3;13.6;22.3;6.5;78.2;2559.2;128.2;2.8;92.5;4.6;50.1;45.2;2.1;2.3;850.8;1914.7;30.8;69.2;2765.5;5531.053;7.8;0.90;36.20;147.100000;149.200000;148.15;lower Tithonian;Late Jurassic;Flap-soaring ;Archipelago;Lagoonal deposit;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;basal ctenochasmatoidae;Cycnorhamphus suevicus;Cycnorhamphus suevicus;Cycnorhamphus suevicus;Out_Cycnorhamphus_suevicus.jpg;Painten Pelican;Mature;27.3;35.800;2.729;116.30;232.6;11.8;15.7;8.5;19.4;25.4;20.7;15.3;14.0;13.9;22.0;10.2;105.0;3263.9;131.1;3.0;93.3;3.7;57.0;50.5;2.0;2.3;1091.2;2408.8;31.2;68.8;3500.0;7000.000;7.7;0.89;38.98;149.200000;152.000000;150.6;Kimmeridgian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;basal ctenochasmatoidae;Cycnorhamphus canjuersensis;Cycnorhamphus canjuersensis;Cycnorhamphus canjuersensis;Out_Cycnorhamphus_canjuersensis.jpg;MNHN.F.CNJ71;Mature;12.7;24.5;0.759;71.9;143.8;7.4;11.4;8.5;12.7;16.1;13.7;9.7;5.7;10.3;14.2;7.3;46.5;1171.7;76.2;3.6;90.5;5.9;31.8;30.5;2.3;2.357377049;387.8;906.6;30.0;70.0;1294.4;2588.800;8.0;0.96;29.33;147.100000;149.200000;148.15;lower Tithonian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;Ctenochasmatidae;Ctenochasma elegans;Ctenochasma elegans;Ctenochasma elegans;Out_Ctenochasma_elegans.jpg;BST 1934;Mature;18.5;20.200;0.808;73.60;147.2;9.1;13.8;4.9;9.9;14.2;12.8;10;7.7;7.5;12.7;8.2;72.1;1270.9;44.9;5.2;91.6;3.2;34.7;29.2;2.1;2.5;574.7;813.2;41.4;58.6;1387.9;2775.831;7.8;0.84;29.11;145.000000;150.000000;147.5;Tithonian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;Ctenochasmatidae;Ctenochasma taqueti;Ctenochasma taqueti;Ctenochasma taqueti;Out_Ctenochasma_taqueti.jpg;Unumbered;Mature;14.9;19.600;0.443;58.70;117.4;6.6;9.5;4.9;6;12.8;10.3;9.8;6.8;6.7;10.3;6.7;35.9;829.6;36.8;4.0;91.9;4.1;28.9;24.7;2.0;2.4;329.7;572.6;36.5;63.5;902.3;1804.600;7.6;0.85;24.53;145.000000;150.000000;147.5;Tithonian;Late Jurassic;Flap-glidding;Archipelago;Lagoonal deposit;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;Ctenochasmatidae;Ningchengopterus liuae;Ningchengopterus liuae;Ningchengopterus liuae;Out_Ningchengopterus_liuae.jpg;CYGB-0035;Immature;3.1;3.200;0.006;11.90;23.8;1.6;2.1;1;1.6;2;2.0;1.7;1.5;1.4;1.8;1.0;2.0;33.3;1.3;5.3;91.2;3.5;5.6;4.7;2.1;2.5;15.3;21.2;41.9;58.1;36.5;72.947;7.8;0.84;8.69;122.000000;130.000000;126;Hauterivian;Early Cretaceous;Burst-flapping;Forested wetland environment;Lacustrine: large lake;Filter Feeder;Piscivore
Pterodactyloidea;Ctenochasmatoidea;Ctenochasmatidae;Eosipterus yangi;Eosipterus yangi;Eosipterus yangi;Out_Eosipterus_yangi.jpg;GMV2117;Mature;12.5;15.600;0.389;55.94;111.9;6.4;9.5;1.8;7.3;9.7;9.5;8.0;7.3;6.0;9.6;5.2;39.5;687.2;27.0;5.2;91.2;3.6;24.5;21.1;2.3;2.6;304.5;449.3;40.4;59.6;753.8;1507.529;8.3;0.86;25.83;124.122000;125.755000;124.9385;early Barremian ;Early Cretaceous;Flap-glidding;Forested wetland environment;Lacustrine: large lake;Filter Feeder;Piscivore
