"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Bellubrunnus_rothgaengeri","Rhamphorhynchidae","Rhamphorhynchinae",13.6,0.001,0.7,1.1,0.4,1.3,0.15,0.3,0.15,2.80099501137819,35.0232683748091,16.5084192624992,8.61993373040801,15.732932793108
"Nesodactylus_hesperius","Rhamphorhynchidae","Rhamphorhynchinae",142.6,0.743,4.5,8.6,2.9,15.3,0.15,0.3,0.15,278.868714538571,261.371377282691,18.2296892228004,61.2164856699839,180706.253110211
"Cacibupteryx_caribensis","Rhamphorhynchidae","Rhamphorhynchinae",208.8,2.048,10.6,16.2,5,20.1,0.15,0.3,0.15,600.156057226083,334.760930229712,18.1608764399992,78.5536490616591,830741.117252533
"Rhamphorhynchus_muensteri","Rhamphorhynchidae","Rhamphorhynchinae",196.4,1.74,7.8,12.7,4.5,20.2,0.15,0.3,0.15,509.459109764834,335.049460748267,18.9283885893243,77.0108827671537,625136.160591087
"Rhamphorhynchus_etchesi","Rhamphorhynchidae","Rhamphorhynchinae",40.8,0.027,5.5,10.2,3.3,17,0.15,0.3,0.15,212.7247684288,12.4513004271363,1.95633072290447,8.90212266650069,195057.413345276
"Batrachognathus_volans","Anurognathidae","Anurognathidae",44.5,0.033,3.8,5,1.8,5.4,0.25,0.4,0.15,28.4935078092068,113.615354826687,17.3745718959895,27.2571204214764,1943.28307491646
"Sinomacrops_bondei","Anurognathidae","Anurognathidae",31.5,0.013,2.38,3.55,0.67,3.98,0.25,0.4,0.15,10.4117812230285,122.486246366696,23.8251740683278,25.0939648074273,332.434565871748
"Dendrorhynchoides_curvidentatus","Anurognathidae","Anurognathidae",48.9,0.043,3.5,4.8,1.1,6.3,0.25,0.4,0.15,67.4526328160267,62.5372179541928,8.86255250600036,21.0067635273521,5203.91455458539
"Luopterus_mutoudengensis","Anurognathidae","Anurognathidae",37.3,0.021,2.7,4.2,1.1,5,0.25,0.4,0.15,14.8906621007113,138.348448582524,23.3584307835032,28.6254591604375,690.390876327518
"Jeholopterus_ningchengensis","Anurognathidae","Anurognathidae",78.8,0.153,6.2,8.9,1.9,9.3,0.25,0.4,0.15,64.9934646635779,230.935526790144,23.884863009464,47.2529984439774,12991.0678555139
"Anurognathus_ammoni","Anurognathidae","Anurognathidae",40.6,0.026,3.2,4.6,1.1,5.8,0.25,0.4,0.15,20.8726328806807,122.198287804927,19.7430770883449,27.5015834732474,1359.73881291592
"Vesperopterylus_lamadongensis","Anurognathidae","Anurognathidae",88.7,0.21,6.5,8.6,3,10.8,0.25,0.4,0.15,89.0207102944203,231.418059144505,22.0951112779796,49.2321894772985,22349.7956692149
"Pterorhynchus_wellnhoferi","Darwinoptera","Darwinoptera",77.1,0.145,5.3,9.2,3.3,5.3,0.18,0.33,0.15,81.7002848104955,174.10588020585,18.1896856718067,40.8226169579362,14911.6337440969
"Kunpengopterus_antipollicatus","Darwinoptera","Darwinoptera",36.1,0.019,5.4,7.5,2.7,5.4,0.18,0.33,0.15,94.854215496849,19.6501546108082,3.43477090916242,10.602714904068,14660.3524159749
"Kunpengopterus_sinensis","Darwinoptera","Darwinoptera",72.6,0.123,4.6,6.4,2.7,6,0.18,0.33,0.15,149.158204708354,80.8959857326854,8.83417712472773,27.2172297938116,24928.2103871253
"Wukongopterus_lii","Darwinoptera","Darwinoptera",65.9,0.095,4.6,7.3,3,6,0.18,0.33,0.15,90.4152122186534,103.074469122103,12.0079627460744,29.745168999237,15783.4296964337
"Cuspicephalus_scarfi","Darwinoptera","Darwinoptera",138,0.7,9.7,14.5,6.3,12.2,0.18,0.33,0.15,430.784576641751,159.406821236098,11.0519277108645,47.9499196455037,307947.010044226
"Darwinopterus_modularis","Darwinoptera","Darwinoptera",80,0.16,5.3,7.6,3,6.2,0.18,0.33,0.15,160.690498940386,97.6784570556536,9.95702926153451,30.9552202982948,33399.3732654098
"Changchengopterus_pani","basal pterodactyloidea","basal pterodactyloidea",79.3,0.156,5,7.6,2.8,5.9,0.1,0.25,0.15,155.535007799847,98.3932827501685,10.1078369573435,30.9482671021797,27660.1381540566
"Kryptodrakon_progenitor","basal pterodactyloidea","basal pterodactyloidea",150.8,0.862,7.5,13,8.6,11,0.1,0.25,0.15,460.174874552532,183.76101059891,12.3543468241898,52.2809506582193,265638.313125806
"Propterodactylus_frankerlae","basal pterodactyloidea","basal pterodactyloidea",47.9,0.041,3.4,4.7,2.2,3.9,0.1,0.25,0.15,61.732451444588,65.1537385261672,9.29174990750001,21.3742352290564,4532.78466256037
"Germanodactylus_cristatus","Dsungaripteroidea","Germanodactyloidea",106.5,0.341,7.6,9.5,7.4,10.1,0.1,0.25,0.15,208.484404744004,160.453728138925,13.6008374510398,43.5077863548575,77164.6708639378
"Germanodactylus_rhamphastinus","Dsungaripteroidea","Germanodactyloidea",107.9,0.354,6.4,10,7,9,0.1,0.25,0.15,221.681662753333,156.654364500331,13.129649353265,43.2330559810418,71421.0798067948
"Pterodactylus_antiquus","Ctenochasmatoidea","basal ctenochasmatoidae",133.8,0.627,9.3,10.8,8.4,12.7,0.12,0.27,0.15,330.18450569713,186.28584606093,13.5548759035512,50.5978526109751,180455.594785215
"Petrodactyle_wellnhoferi","Ctenochasmatoidea","basal ctenochasmatoidae",207,2.002,8.9,15.2,18.9,24.9,0.12,0.27,0.15,1407.451671879,139.540279729679,7.61109614918338,50.5796692513028,1927947.71694791
"Cycnorhamphus_suevicus","Ctenochasmatoidea","basal ctenochasmatoidae",232.6,2.729,11.8,15.7,19.4,25.4,0.12,0.27,0.15,1402.77864376174,190.846147530509,9.64207008721564,61.4608066052003,2440827.11663405
"Huanhepterus_quingyangensis","Ctenochasmatoidea","Ctenochasmatidae",295.8,5.174,16.2,31.6,19.7,27.3,0.12,0.27,0.15,2214.73860423887,229.178016325965,9.8767457063031,72.9232506890987,6064233.04246087
"Ardeadactylus_longicollum","Ctenochasmatoidea","Ardeadactylidae",135.2,0.645,7.3,10.3,13.7,16.1,0.12,0.27,0.15,327.855107438228,192.995315810115,13.9383523279746,51.694108408215,169636.561992144
"Aurorazhdarcho_micronyx","Ctenochasmatoidea","Ardeadactylidae",111.6,0.387,7.7,10.2,11.6,10.7,0.12,0.27,0.15,385.657718735682,98.4414369417038,8.07358403251354,34.6453345548081,154776.678030613
"Elanodactylus_prolatus","Ctenochasmatoidea","Ctenochasmatidae",239,2.934,15,16.5,13,20.8,0.12,0.27,0.15,1546.93068070721,186.062248030671,9.23134447981308,61.2386749494044,2801883.74984926
"Forfexopterus_jeholensis","Ctenochasmatoidea","Ctenochasmatidae",222.2,2.417,11.8,19.2,14.7,19.3,0.12,0.27,0.15,1342.28228931013,176.645182528529,9.19568864038562,58.2518428041915,2145494.79228889
"Gegepterus_changi","Ctenochasmatoidea","Ctenochasmatidae",66.4,0.097,2.7,6.2,4.7,6.7,0.12,0.27,0.15,124.063329403732,76.7003436529871,8.88449476003537,25.7324384123979,18205.4243448794
"Beipiaopterus_chenianus","Ctenochasmatoidea","Ctenochasmatidae",116.1,0.429,6.8,8,7.3,17.6,0.12,0.27,0.15,230.432090584188,182.634718512109,14.6238420675564,47.7587108644306,98390.4846214274
