"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Ikrandraco_avatar","Ornithocheiromorpha","Ornithocheiridae",145.4,0.782,8.1,12.6,8.7,14.2,-0.08,0.07,0.15,435.437502198416,176.177292063015,12.1378842504743,50.5683094006281,311965.394882725
"Haopterus_gracilis","Ornithocheiromorpha","Istiodactyloidae",128,0.557,6.8,10.3,7.3,14.3,-0.08,0.07,0.15,225.24159272647,242.591518460608,18.1849184709599,56.8879041299303,118054.127877833
"Linlongopterus_jennyae","Ornithocheiromorpha","Ornithocheiridae",203.8,1.919,14.5,21.6,15.7,31.4,-0.08,0.07,0.15,1513.91953588156,124.348682699559,6.8587595006848,47.4808408626331,3897831.10282764
"Mimodactylus_libanensis","Ornithocheiromorpha","Istiodactyloidae",116,0.429,4.9,7.8,5.8,11.4,-0.08,0.07,0.15,337.519628888665,124.68874814354,9.96682773999392,39.4956066158986,146409.828355588
"Hongshanopterus_lacustris","Ornithocheiromorpha","Istiodactyloidae",177.6,1.331,9.6,17.3,12.1,20.1,-0.08,0.07,0.15,617.99726690728,211.281031473542,12.759668079864,59.1481029160228,724782.147216718
"Nurhachius_ignaciobritoi","Ornithocheiromorpha","Istiodactyloidae",241.3,3.009,14.2,24.9,15.4,26.1,-0.08,0.07,0.15,1213.02885079526,243.343676291359,12.0000628925329,70.2470844224012,2315678.4315449
"Nurhachius_luei","Ornithocheiromorpha","Istiodactyloidae",170.1,1.186,10.1,17.6,10.8,18.4,-0.08,0.07,0.15,602.736865475954,193.030502469973,12.0010951948128,55.7205636364261,570572.663022756
"Luchibang_xingzhe","Ornithocheiromorpha","Istiodactyloidae",206.4,1.986,10.6,18.9,13.3,22.1,-0.08,0.07,0.15,739.827742002712,263.340489872149,14.3955672318665,69.4069959839617,1044697.46181627
"Lingyuanopterus_camposi","Ornithocheiromorpha","Istiodactyloidae",242.2,3.038,12.5,22.3,15.6,26,-0.08,0.07,0.15,1031.2456926154,288.997861648425,14.2208690955176,76.6357761115527,2021049.82814058
"Istiodactylus_latidens","Ornithocheiromorpha","Istiodactyloidae",305.3,5.626,19.4,36.9,21.7,46.1,-0.08,0.07,0.15,2020.05060238833,273.216225052714,11.5353657341305,80.4434711535096,10057531.5803764
"Istiodactylus_sinensis","Ornithocheiromorpha","Istiodactyloidae",266.3,3.912,12.9,24.5,17.7,27.5,-0.08,0.07,0.15,1180.94982339778,324.964865057383,15.0124265643997,83.8708336796367,2717229.36761768
"Thapunngaka_shawi","Ornithocheiromorpha","Ornithocheiridae",411.4,12.436,22.2,32,22.8,48.3,-0.08,0.07,0.15,3176.893054079,384.014060036931,13.3188273195639,105.223836308207,18178120.2014656
"Ornithocheirus_simus","Ornithocheiromorpha","Ornithocheiridae",397.2,11.326,27.1,39.1,27.9,59,-0.08,0.07,0.15,4730.65796703274,234.868089754735,8.33752096957024,81.340258068525,40405630.4927386
"Aussiedraco_molnari","Ornithocheiromorpha","Ornithocheiridae",349.8,8.078,20.3,29.8,20.9,38.5,-0.08,0.07,0.15,3236.7553778963,244.829067223192,9.45082541884328,79.6394235080244,13468519.7736031
"Aetodactylus_halli","Ornithocheiromorpha","Ornithocheiridae",293.4,5.06,15.4,23,16.9,32.8,-0.08,0.07,0.15,1763.31101804661,281.507910357128,12.2048179701394,80.5795707897296,5106579.83896039
"Cimoliopterus_cuvieri","Ornithocheiromorpha","Ornithocheiridae",320,6.375,16.8,25,18.2,36.5,-0.08,0.07,0.15,2024.76855821509,308.868634621284,12.6434203534686,86.8643391017664,7001208.51753029
"Hamipterus_tianshanensis","Ornithocheiromorpha","Ornithocheiridae",313.6,6.041,16.5,24.9,18.3,35.7,-0.08,0.07,0.15,2049.563321161,289.145543287875,11.995843088211,83.4835896251615,6998925.53125022
"Iberodactylus_andreui","Ornithocheiromorpha","Ornithocheiridae",446,15.416,23,34.9,25.6,50,-0.08,0.07,0.15,3995.53444062608,378.49995350385,12.4461447495889,107.287322422753,26730744.1764348
"Tropeognathus_mesembrinus","Ornithocheiromorpha","Ornithocheiridae",764.6,64.667,40.8,60.3,41.2,89.3,-0.08,0.07,0.15,9321.01164846163,680.594868803431,15.6799814775601,171.876261149599,182171034.196058
"Siroccopteryx_moroccensis","Ornithocheiromorpha","Ornithocheiridae",402.8,11.757,21.7,31.3,22.3,47.3,-0.08,0.07,0.15,3035.41839565234,379.967948290744,13.3628892999058,103.943366477232,16623778.6445417
"Ferrodraco_lentoni","Ornithocheiromorpha","Ornithocheiridae",348.5,7.996,19.6,27.3,19.6,39.2,-0.08,0.07,0.15,2424.47388565229,323.537244365476,12.523567558176,91.4240067444326,9557312.84196813
"Haliskia_peterseni","Ornithocheiromorpha","Ornithocheiridae",369,9.312,19.6,26.1,21,46.3,-0.08,0.07,0.15,3061.71578923846,298.364467143182,11.1180306544609,89.4814817848902,14177801.3814729
"Coloborhynchus_clavirostris","Ornithocheiromorpha","Ornithocheiridae",234.8,2.798,12.1,18.3,13.5,26.3,-0.08,0.07,0.15,1113.76089812475,246.447689501535,12.3749720637581,70.057177670726,2059344.25772537
"Uktenadactylus_wadleighi","Ornithocheiromorpha","Ornithocheiridae",541.2,25.792,29.1,42,29.9,63.4,-0.08,0.07,0.15,5469.88785074372,462.568021327161,13.3868119416825,126.42618244277,53862921.1031235
"Nicorhynchus_capito","Ornithocheiromorpha","Ornithocheiridae",451,15.88,24.3,35,24.9,52.8,-0.08,0.07,0.15,3797.90550818066,410.180821151145,13.3890245269317,112.098778845476,25966591.5144125
"Caulkicephalus_trimicrodon","Ornithocheiromorpha","Ornithocheiridae",513.2,22.393,22.8,34.6,25.8,49.4,-0.08,0.07,0.15,3977.56936463341,552.285352841977,16.5537176008666,135.742472182102,26363323.8410985
"Ludodactylus_sibbicki","Ornithocheiromorpha","Ornithocheiridae",446.6,15.471,22.9,34.7,25.9,49.5,-0.08,0.07,0.15,3990.60729163534,380.319332143066,12.4950631209733,107.59180031624,26623645.1437397
