"Environment","n","mean_PC1","mean_PC2","var_PC1","var_PC2","disparity"
"Floodplain",37,0.452942866481217,-0.396179932256259,4.099480191159,0.805264473265833,4.90474466442484
"Coastal environment",33,0.485500516504633,0.198709310866577,2.32643398429567,1.21614025562774,3.54257423992341
"Forested wetland environment",58,-0.498895965276015,0.114284358430323,1.6014450786042,1.72381940112489,3.32526447972909
"Fluvial environment",10,-1.1050582833061,-0.155240893313659,2.74288739277254,0.504588911209585,3.24747630398213
"Archipelago",23,-0.745438905796202,0.027558261772682,1.01557950522417,1.28103446277335,2.29661396799752
"Semi-arid floodplain",9,-0.852283082717545,0.156513738558478,0.67426989509335,1.42320154354001,2.09747143863336
"Marine environment",11,3.00994153540352,0.124076594598929,0.83257125913161,0.726162354420598,1.55873361355221
"Semi_arid floodplain",1,-1.08756859705567,-0.382139829323422,NA,NA,NA
