"variable","PC1","PC2"
"aspect_ratio",0.495219874447736,0.19374536133281
"r2_hat",-0.33280444577463,0.608536074954216
"von_mises_stress",0.266323041889226,0.692022958575405
"wing_curvature",-0.478325530765277,-0.0259288974409493
"shape_complexity",0.453651801147015,0.0704257205591397
"wing_loading_ratio",0.372122619733961,-0.328052915559523
